Stage Task ID,Requirement ID,Rule/Gate ID,ADR,PRD,Technical Design,API/Schema/Event,Data Migration,Code Subsystem,Permission,Audit Event,Test ID,CI/Runtime Evidence,Implementation Status,Verification Status,Verified Commit
M0-DOC-001,DOC-REQ-001,DOC-RULE-001,ADR-008,docs/README.md,docs/governance/documentation-policy.md,docs/governance/traceability-matrix.csv,none,docs and docs-check,repository documentation approval,document.changed,TC-DOC-001;TC-DOC-002;TC-DOC-003,Documentation/docs plus remote docs workflow evidence on target commit,implemented,passed,HEAD
M0-BLD-001,BLD-REQ-001,BLD-GATE-001,ADR-008,docs/prd/deployment.md,docs/technical/runtime-and-build.md,docs/specs/schemas/config.schema.json,none,cmd web build container,platform.configure,build.executed,TC-BLD-001,Clean-source build Docker Compose smoke SBOM source and image scan plus m0-runtime artifact,implemented,passed,HEAD
M0-RUN-001,ARCH-REQ-003,ARCH-GATE-002,ADR-004,docs/prd/mcp-protocol.md,docs/technical/architecture.md;docs/technical/api-spec.md,docs/specs/openapi/control-plane.yaml;docs/specs/mcp/tools.schema.json,none,composition root HTTP MCP Web worker,platform.configure,service.started,TC-ARCH-002;TC-MCP-001;TC-MCP-003;TC-MCP-004,tests/m0 real REST MCP Web WebSocket smoke report on target commit,implemented,passed,HEAD
M0-STATE-001,CON-REQ-001,CON-GATE-001,ADR-002,docs/prd/task-management.md,docs/technical/concurrency-model.md,docs/specs/openapi/control-plane.yaml;docs/specs/asyncapi/events.yaml,WorkItem Lease version history and schema catalog migration,domain application store scheduler,work_item.dispatch,work_item.state.changed,TC-CON-001;TC-TASK-002;TC-TASK-003;TC-TASK-004,Race coverage multi-resource CAS history safe rebind and recovery reports,implemented,passed,HEAD
M0-VAL-001,VAL-REQ-001,VAL-GATE-001,ADR-006,docs/prd/validation.md,docs/technical/zero-trust-validation.md,docs/specs/schemas/quality-policy.schema.json,Evidence authority and append-only schema v4 migration,validation evidence policy,service quality evaluator,quality.gate.evaluated,TC-VAL-001;TC-VAL-002;TC-VAL-003;TC-VAL-004;TC-VAL-005,Real binary fail-closed validation context compensation and coverage report,implemented,passed,HEAD
M0-SEC-001,SEC-REQ-001,SEC-GATE-001,ADR-001,docs/prd/validation.md,docs/security/runner-security.md;docs/security/threat-model.md,docs/specs/schemas/command-profile.schema.json;docs/specs/rbac/permissions.yaml,legacy command and anonymous access removal,middleware command path origin policy,security.emergency_stop,security.control.denied,TC-SEC-001;TC-CTX-002;TC-CTX-003,Security negative error log proxy drain source container and image scan evidence,implemented,passed,HEAD
M0-TST-001,TEST-REQ-001,TEST-RULE-001,ADR-004,docs/prd/overview.md,docs/testing/integration-test-plan.md;docs/testing/mcp-test-guide.md,docs/specs/openapi/control-plane.yaml;docs/specs/mcp/tools.schema.json,none,integration harness fixtures CI,service test executor,test.run.completed,TC-INT-001,Strict stdio Playwright real binary schema context concurrency and recovery suites in remote CI,implemented,passed,HEAD
M1-ARCH-001,ARCH-REQ-001,ARCH-GATE-001,ADR-001,docs/prd/overview.md,docs/technical/architecture.md,docs/specs/openapi/runner.yaml,service boundary migration,control plane runner channel,platform.configure,architecture.boundary.checked,TC-ARCH-001,central no-source-mount test,implemented,passed,HEAD
M1-AUTH-001,AUTH-REQ-001,AUTH-RULE-001,ADR-003,docs/prd/roles-and-scenarios.md,docs/security/identity-rbac.md,docs/specs/rbac/permissions.yaml,User Team Membership Principal Session migration,identity session authorization policy,oidc.configure,authorization.decided,TC-RBAC-001,OIDC and cross-project RBAC suite,implemented,passed,HEAD
M1-DATA-001,DATA-REQ-001,DATA-GATE-001,ADR-002,docs/prd/project-management.md,docs/technical/data-model.md,docs/specs/schemas/event-envelope.schema.json,SQLite to PostgreSQL scoped import,postgres migrations inbox outbox,platform.configure,database.migration.completed,TC-DATA-001,migration dry-run checksum reconcile report,implemented,passed,HEAD
M1-RUN-001,RUNNER-REQ-001,GATE-M1-RUNNER,ADR-001,docs/prd/multi-client.md,docs/security/runner-security.md;docs/technical/worktree-model.md,docs/specs/openapi/runner.yaml;docs/specs/schemas/command-profile.schema.json,Runner Lease Execution Workspace migration,runner daemon host broker sandbox,runner.approve,runner.registered,TC-RUNNER-001,runner isolation and escape suite,implemented,passed,HEAD
M1-MCP-001,MCP-REQ-001,MCP-RULE-001,ADR-004,docs/prd/mcp-protocol.md,docs/technical/api-spec.md,docs/specs/mcp/tools.schema.json,remove legacy identity fields and merge_task,MCP stdio and Streamable HTTP adapters,work_item.read;work_item.submit,mcp.tool.invoked,TC-MCP-001,real MCP transport contract suite,implemented,passed,HEAD
M1-DEP-001,DEP-REQ-001,DEP-GATE-001,ADR-001,docs/prd/deployment.md,docs/technical/deployment.md,docs/specs/schemas/config.schema.json,PostgreSQL and Secret reference deployment migration,compose proxy database backup,platform.configure,deployment.completed,TC-DEP-001,VM Compose readiness and rollback report,implemented,passed,HEAD
M2-GL-001,GL-REQ-001,GL-GATE-003,ADR-005,docs/prd/gitlab-collaboration.md,docs/technical/gitlab-integration.md,docs/specs/openapi/control-plane.yaml,GitLab Instance and project mapping migration,gitlab instance repository connector,gitlab_instance.configure;project.repository.manage,gitlab.mapping.changed,TC-GL-001,GitLab sandbox onboarding report,implemented,passed,HEAD
M2-WHK-001,WEBHOOK-REQ-001,WEBHOOK-RULE-001,ADR-002,docs/prd/gitlab-collaboration.md,docs/technical/gitlab-integration.md,docs/specs/asyncapi/events.yaml,Webhook Inbox DLQ waterline migration,webhook edge inbox consumer reconciler,service webhook apply,gitlab.webhook.received,TC-GL-002,signature duplicate disorder DLQ report,implemented,passed,HEAD
M2-GIT-001,GLINT-REQ-003,GL-GATE-002,ADR-005,docs/prd/gitlab-collaboration.md,docs/technical/gitlab-integration.md;docs/technical/worktree-model.md,docs/specs/openapi/runner.yaml,remote baseline and branch intent migration,runner Git broker baseline branch adapter,work_item.submit,git.branch.push.completed,TC-GL-003,exact SHA and protected ref report,implemented,passed,HEAD
M2-MR-001,GL-REQ-002,GL-GATE-004,ADR-005,docs/prd/gitlab-collaboration.md,docs/technical/gitlab-integration.md,docs/specs/asyncapi/events.yaml,MR Pipeline Job mirror migration,GitLab MR pipeline job reconciler,service gitlab sync,gitlab.merge_request.synced,TC-GL-005,MR pipeline merged reconcile report,implemented,passed,HEAD
M2-QG-001,QG-REQ-001,QG-RULE-004,ADR-006,docs/prd/validation.md,docs/quality/quality-policy.md;docs/technical/quality-evidence-engine.md,docs/specs/schemas/quality-policy.schema.json,Policy Evidence Gate Waiver migration,quality policy evidence gate waiver engine,project_policy.strengthen;waiver.request,quality.gate.evaluated,TC-QG-001,strict quality threshold and waiver report,implemented,passed,HEAD
M2-SEC-001,SECRET-REQ-001,SECRET-RULE-001,ADR-006,docs/prd/gitlab-collaboration.md,docs/security/secrets-webhooks-supply-chain.md,docs/specs/schemas/quality-policy.schema.json,Secret reference and artifact provenance migration,secret webhook artifact supply-chain controls,security.emergency_stop,secret.rotated,TC-SECRET-001,secret webhook supply-chain security report,implemented,passed,HEAD
M3-CTR-001,CTR-REQ-001,CTR-GATE-001,ADR-007,docs/prd/context-filtering.md,docs/technical/contract-engine.md,docs/specs/asyncapi/events.yaml,Contract version and compatibility result migration,contract parser normalizer diff engine,project.read,contract.versioned,TC-CTR-001,OpenAPI canonical and breaking diff report,implemented,passed,HEAD
M3-INT-001,E2E-REQ-001,E2E-RULE-001,ADR-007,docs/prd/end-to-end-workflows.md,docs/technical/workflow-engine.md,docs/specs/asyncapi/events.yaml,IntegrationRun manifest and environment Lease migration,integration workflow environment artifact,work_item.read,integration_run.completed,TC-E2E-001,cross-repository exact-combination E2E report,implemented,passed,HEAD
